no_acclimation,genus,species,phylum,class,order,family,life_stage,season_inactive,logic_source_for_season_inactive,season_when_away (migratory only),logic_source_season_when_away,maturity_sex,age_maturity_days,maturity_days_reference,maturity_days2,maturity_days2_reference,lifespan_days,lifespan_days_reference,data_gatherer,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,Home range size_Km2,logic-source_for_Home range size,migratory,source_logic_for_migration_info,,realm,kingdom,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,trophic_position,source_logic_for_trophic_position,,,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering,logic_source_for_dispersal_type,cold_season_dormancy,source_logic_for_cold_season_dormancy,hot_season_dormancy,source_logic_for_hot_season_dormancy,highland_specialist,pelagic_habitat_for_marine_species,source_logic_for_highland_specialist,notes,orig_genus,orig_species,terrestriality_available_for_mammals_only_see_pan_theria_metadata,pantheria05genus,pantheria05species,pantheria93genus,pantheria93species,all_pantheria_synonyms05,pantheria_references,binary_name,try_species_number_for_plants,notes_on_body_size_e_g_type_of_metric
,Cyprinella,spiloptera,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,sub-adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Danio,rerio,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Gobio,gobio,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hybognathus,placitus,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hypophthalmichthys,nobilis,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,sub-adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Luxilus,chrysocephalus,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Luxilus,cornutus,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Notemigonus,crysoleucas,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Notropis,atherinoides,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Notropis,hudsonius,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Notropis,rubellus,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,sub-adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Notropis,stramineus,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Pimephales,notatus,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,sub-adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Rhinichthys,osculus,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Siphateles,bicolor,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,juveniles,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Squalius,cephalus,Chordata,Actinopterygii,NA,Cyprinidae,juveniles,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Cyprinodon,bovinus,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Cyprinodon,dearborni,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Cyprinodon,nevadensis,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Gobiomorphus,basalis,Chordata,Actinopterygii,Perciformes,Eleotridae,juveniles adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Gobiomorphus,cotidianus,Chordata,Actinopterygii,Perciformes,Eleotridae,juveniles adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Fundulus,diaphanus,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Limnodynastes tasmaniensis,,,,,unknown,91.25,AmphiBio,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Fundulus,heteroclitus,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Fundulus,notatus,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Gobiesox,strumosus,Chordata,Actinopterygii,Perciformes,Gobiesocidae,adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bathygobius,fuscus,Chordata,Actinopterygii,Perciformes,Gobiidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bathygobius,ramosus,Chordata,Actinopterygii,Perciformes,Gobiidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Gobiosoma,chiquita,Chordata,Actinopterygii,Perciformes,Gobiidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Haemulon,flavolineatum,Chordata,Actinopterygii,Perciformes,Haemulidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ameiurus,catus,Chordata,Actinopterygii,Siluriformes,Ictaluridae,juveniles,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ameiurus,nebulosus,Chordata,Actinopterygii,Siluriformes,Ictaluridae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ictalurus,punctatus,Chordata,Actinopterygii,Siluriformes,Ictaluridae,juveniles,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Kuhlia,sandvicensis,Chordata,Actinopterygii,Perciformes,Kuhliidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Morone,saxatilis,Chordata,Actinopterygii,Perciformes,Moronidae,juveniles,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Chelon,subviridis,Chordata,Actinopterygii,NA,Mugilidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Gobionotothen,gibberifrons,Chordata,Actinopterygii,Perciformes,Nototheniidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Notothenia,coriiceps,Chordata,Actinopterygii,Perciformes,Nototheniidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Pagothenia,borchgrevinki,Chordata,Actinopterygii,Perciformes,Nototheniidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Trematomus,hansoni,Chordata,Actinopterygii,Perciformes,Nototheniidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hypomesus,transpacificus,Chordata,Actinopterygii,Osmeriformes,Osmeridae,adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Osmerus,mordax,Chordata,Actinopterygii,Osmeriformes,Osmeridae,adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Etheostoma,caeruleum,Chordata,Actinopterygii,Perciformes,Percidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Etheostoma,flabellare,Chordata,Actinopterygii,Perciformes,Percidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Etheostoma,nigrum,Chordata,Actinopterygii,Perciformes,Percidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Etheostoma,spectabile,Chordata,Actinopterygii,Perciformes,Percidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Gymnocephalus,cernua,Chordata,Actinopterygii,NA,Percidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Perca,flavescens,Chordata,Actinopterygii,Perciformes,Percidae,sub-adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Sander,vitreus,Chordata,Actinopterygii,Perciformes,Percidae,juveniles,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Heterandria,formosa,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Abudefduf,saxatilis,Chordata,Actinopterygii,Perciformes,Pomacentridae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Coregonus,artedi,Chordata,Actinopterygii,Salmoniformes,Salmonidae,larvae,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Coregonus,clupeaformis,Chordata,Actinopterygii,Salmoniformes,Salmonidae,juveniles,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Oncorhynchus,mykiss,Chordata,Actinopterygii,Salmoniformes,Salmonidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Salmo,trutta,Chordata,Actinopterygii,Salmoniformes,Salmonidae,sub-adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Thymallus,arcticus,Chordata,Actinopterygii,Salmoniformes,Salmonidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Scatophagus,argus,Chordata,Actinopterygii,Perciformes,Scatophagidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Aplodinotus,grunniens,Chordata,Actinopterygii,Perciformes,Sciaenidae,juveniles,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Diplodus,vulgaris,Chordata,Actinopterygii,Perciformes,Sparidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Terapon,jarbua,Chordata,Actinopterygii,Perciformes,Terapontidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Sphoeroides,annulatus,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,juveniles,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Retropinna,retropinna,Chordata,Actinopterygii,Osmeriformes,Retropinnidae,adult,,,,,,NA,,,,,,Jenn,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"potential drop this species, one population is a subspecies",Gasterosteus,aculeatus,Chordata,Actinopterygii,Perciformes,Gasterosteidae,adult,none,,,,,NA,,,,,,Jenn,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Zoarces,viviparus,Chordata,Actinopterygii,Perciformes,Zoarcidae,NA,none,NA,none,NA,female,365,"2 methods: first, size at maturity was given in Fishbase, and maximum size and age were also given, working backwards along a typical growth curve this suggests 1 year. Second, maturity at age 1 was implied by 
, as females geater than 1 year were used to assess state of reproductive females.",,,6,Journal of Aquatic Ecosystem Stress and Recovery,Jenn,NA,NA,10-100km,Simonsen and Strand. Hereditas 147: 250–255 (2010),10-100km,Simonsen and Strand. Hereditas 147: 250–255 (2010),N,Simonsen and Strand. Hereditas 147: 250–255 (2010),,marine,NA,52,fishbase,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Oncorhynchus,clarkii,Chordata,Actinopterygii,Salmoniformes,Salmonidae,juveninles,none,NA,none,"migration to ocean occurs after the 3rd winter, therefore is not away consistently every year",female,1095,AnAge,2555,animaldiversity.org,2190,animaldiversity.org,Joanne/Jenn,1-10km,returns to natal stream,NA,NA,15,Wikipedia_page,Y,"described as sea-run cuthroat trout in thermal tolerance reference, ""most juvenile cutthroat trout that migrate to the ocean for the first time (smolts) do so after their third winter"" https://odfw.forestry.oregonstate.edu/conference/cuthist.html",,freshwater,NA,99,animaldiversity.org,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Bufo,boreas,Chordata,Amphibia,Anura,Bufonidae,adult,,,,,unknown,1460,AmphiBio,,,3285,AmphibiaWeb,NA,NA,NA,,,"0,17",AmphibiaWeb,Y,AmphibiaWeb,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Eleutherodactylus,coqui,Chordata,Amphibia,Anura,Eleutherodactylidae,adult,,,,,unknown,365,AmphiBio,,,2190,AmphibiaWeb,Micky,0-1,"Hobel, G. 1999. Notes on the natural history and habitat use of Eleutherodactylus 側zingeri (Anura: Leptodactylidae).   Amphib.-Reptilia 20: 65 -72.",,,,,Y,"Jarrod H. Fogarty and Francisco J. Vilella (2002). ""Population dynamic of Eleutherodactylus coqui in Cordillera Forest reserves of Puerto Rico"". Journal of Herpetology 36 (2): 193-201.",,Terrestrial,Animalia,5.8,"Schwartz, A. and R.W. Henderson. 1991. Amphibians and Reptiles of the West Indies Descriptions, Distributions, and Natural History. University of Florida Press, Gainesville, Florida.",insectivore,"Douglas P. Reagan and Robert B. Waide, ed. (1996). The Food Web of a Tropical Rain Forest. University Of Chicago Press.",,,walking,"Jarrod H. Fogarty and Francisco J. Vilella (2002). ""Population dynamic of Eleutherodactylus coqui in Cordillera Forest reserves of Puerto Rico"". Journal of Herpetology 36 (2): 193-201.",NA,NA,NA,NA,non-highland specialist,NA,"Hedges, B., Joglar, R., Thomas, R., Powell, R. & Rios-Lퟰez, N. (2009) Eleutherodactylus coqui. In: IUCN 2012. IUCN Red List of Threatened Species. Version 2012.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Cyclorana,brevipes,Chordata,Amphibia,Anura,Hylidae,NA,hot periods,"""The short-footed frog habits dry forest and grassland, where it burrows underground for most of the year. During times of rain, the frogs will emerge from their burrows""",NA,non-migratory,female,700,"""Minimum age at which females are known or suspected to first reproduce is <2 years."" https://web.archive.org/web/20061002035356/http://www.frogsaustralia.net.au/frogs/display.cfm?frog_id=119",,,>2000,guestimate - other species of cyclorana can stay dormant underground for 5 years (ie almost 2000 days),ALH,unk,"couldnt find anything in google (all, books, or scholar)",unk,"couldnt find anything in google (all, books, or scholar)",<1,lives underground most of the time,non-migratory,stays close to water source (eg ephemeral pond),,NA,NA,4.5,https://web.archive.org/web/20061002035356/http://www.frogsaustralia.net.au/frogs/display.cfm?frog_id=119,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,chloris,Chordata,Amphibia,Anura,Hylidae,adult,,,,,unknown,1095,AmphiBio,,,,,Micky,NA,NA,,,,,NA,NA,,Terrestrial,Animalia,6.8,"Mclean et al 2012, Assessing the information content of calls of Litoria chloris: quality signalling versus individual recognition. Australian Journal of Zoology, 60: 120-126",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,gracilenta,Chordata,Amphibia,Anura,Hylidae,NA,,,,,,NA,,,,,,Micky,NA,NA,,,,,NA,NA,,Terrestrial,Animalia,5,"Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,lesueuri,Chordata,Amphibia,Anura,Hylidae,NA,,,,,,NA,,,,,,Micky,NA,NA,,,,,NA,NA,,Terrestrial,Animalia,5.5,Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au],NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,glauerti,Chordata,Amphibia,Anura,Hylidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,rubella,Chordata,Amphibia,Anura,Hylidae,NA,,,,,,NA,,,,,,Micky,NA,NA,,,,,NA,NA,,Terrestrial,Animalia,3.24,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,rothi,Chordata,Amphibia,Anura,Hylidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
