Species.name_(queried_GBIF),,reason_no_map,IUCN?,to_check,Range_source,Range_source_website,Range_description,Range_errors,Action,Realm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameiva festiva,,,,,Reptile database,,"S Mexico; Guatemala; Belize; Honduras; El Salvador ?; Nicaragua; Costa Rica; Panama; Colombia; elevation: 100-1000 m
edwardsii: Atlantic foothills from the Isthmus of Tehuantepec through Honduras; in heavy forests. Chiapas. Type locality: Izabal and Santa Marêa de Panz_s; near Rêo Polochic; Guatemala. Restricted to Panz_s by SMITH & TAYLOR 1950.
festiva: Panama; N Colombia; Type locality: _Veragoa” (= Santiago de Veragua; Panama).
occidentalis: Costa Rica.",,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameiva quadrilineata,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178482,parts of range missing,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphibolurus muricatus,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Coastal southeast Australia (New South Wales; Victoria),points in W Australia and Queensland,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anax junius,,,,,IUCN (but map is no good),,"This species occurs in nine provinces in Canada, fifty one states in the United States of America, eighteen states in Mexico, Kamchatka in the Russian Federation and many Caribbean Islands within the Greater and Lesser Antilles.","missing northern part of range in Canada, Russia, and Alaska",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaxyrus compactilis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=54613,lots of extra points,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anniella pulchra,,,Y,,IUCN,http://maps.iucnredlist.org/map.html?id=62227,,some extra points,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anodontia bullula,,,,,SeaLifeBase,,Eastern Indian Ocean: Australia.,exclude points ouside Australia,excl.points,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis auratus,,,,,Reptile database,http://reptile-database.reptarium.cz/species?genus=Anolis&species=auratus,Costa Rica to northern brasil,some extra points,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis barbouri,,,,,Reptile database,,Hispaniola; (S Haiti; W Dominican Republic),,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis carolinensis,,,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64188,lots of extra points,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis cooki,,,,,NA,,no but common name = Puerto rican anolis so assume endemic,,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis cristatellus,,,,,Reptile database,,Puerto Rico; (including many offshore islands); Isla Vieques; Isla Culebra; Isla Culebrita; Virgin Islands; Isla de Cabras; Punta Salinas; Island Cayo; Ratones (near Jobos; Puerto; Rico); Skipper; Cay; (south of Key Point; Peter Island; British Virgin Islands; e.g. Anegada); Dominica (THORPE cited in; POWELL & HENDERSON; 2004),one extra point in Haiti,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis cupreus,,,,,Reptile database,,Honduras; Nicaragua; Costa Rica,,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis cybotes,,,,,Reptile database,,Hispaniola; Haiti; Dominican Republic; Ile Grande Cayemite; Ile de la Tortue; Ile a Vache; Ile a Cabrit; Ile de la Gonave; Isla Saona; Isla Catalina; Isla Catalinita,,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis distichus,,,,,Reptile database,,,"gbif points all over, not contiguous, rmove",remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis evermanni,,,,,Reptile database,,Puerto Rico,,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis frenatus,,,,,Reptile database,,Costa Rica; Panama; Colombia (Caribbean),,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis gundlachi,,,,,Reptile database,,Puerto Rico,,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis humilis,,,,,Reptile database,,Costa Rica; Panama,assume 2 points in southern nicaragua are legit,country.codes,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis intermedius,,,,,Reptile database,,Panama ?; Nicaragua; Costa Rica,missing S (panama) and N (Nicaragua) RLs,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis krugi,,,,,Reptile database,,Puerto Rico,cant use country codes as number of records in puerto rico are listed as US,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis lemurinus,,,,,Reptile database,,Mexico; Guatemala; Belize; El Salvador; Honduras; Nicaragua; Costa Rica; Panama; Colombia,,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis limifrons,,,,,Reptile database,,"Mexico; Guatemala; Belize; El Salvador
Honduras; Nicaragua; Costa Rica; Panama; ",,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis lionotus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178347,gbif range doesnÍt match IUCN map or description,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis marcanoi,,,,,Reptile database,,Hispaniola (SC Dominican Republic),,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis oculatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178342,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis pentaprion,,,,,Reptile database,,S; Nicaragua; Costa Rica; Panama; NW Colombia,not well smapled between PA and Columbia but overall polygon will be good,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis pulchellus,,,,,Reptile database,,Puerto Rico; Isla Vieques; Isla Culebra; Virgin Islands; isla de Cabras (near San Juan; Puerto Rico); Frenchman Cay (British Virgin Islands; e.g. Anegada),,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis roquet,,,,,Reptile database,,Martinique,,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis sagrei,,,,,Reptile database,,Mexico; Belize; Guatemala; Honduras; Costa Rica; Introduced to lots of places,many occurances outside of native range,country.codes,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis semilineatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178321,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis shrevei,,,,,Reptile database,,Dominican; Republic,one outlier id'd but probably a real occurance,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis stratulus,,,,,Reptile database,,Puerto rico; and some offshore islands,,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis tropidogaster,,,,,Kohler etal (2012) Zootaxa - split sp into two & provides range map,http://www.anoleannals.org/2012/09/12/anolis-tropidogaster-sundered/,Panama; Colombia; very W of Venezuela,depends on taxonomy: gbif range totally matches overall range of spp before splitting,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anolis tropidolepis,,,,,Reptile database,,Costa Rica,,country.codes,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anomalocardia squamosa,,,,,SeaLifeBase,,Indo-West Pacific: from the Persian Gulf and India to eastern Indonesia; north to Korea and south to northwest Australia,"missing huge parts of range: according to description missing all of persian gulf & india, according to map also missing W coast of Afria and Madagascar",remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anomalopus brevicollis,,IUCN,Y,,IUCN,,,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anomalopus leuckartii,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Queensland and New South Wales Australia,seems like too many outliers,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anoplolepis gracilipes,,,,,AntWeb,,"Global (Wetterer 2005): In tropical Asia and tropical islands of the Indian and Pacific Oceans occurs throughout the moist lowlands, but not commonly found in arid regions and sites >1200 masl. In tropical Africa it is known only from Dar es Salaam and nearby Zanzibar. In tropical Australia recorded primarily from moist monsoon rainforests along perennial springs and streams in the northern region and in a few towns on the north and east coasts. In the Neotropics there are records from western Mexico. In subtropical Asia, A. gracilipes ranges up to 26-27N in northern India, southern China; and southern islands of Japan. I found only 6 records from latitudes >27, two from exterminated urban populations (Auckland; New Zealand; Brisbane; Australia) and three from probably temporary populations (Valparaùso; Chile; Durban; South Africa; Zayul; Tibet). The sixth population, on Amami-Oshima Island Japan, may or may not be temporary. Anoplolepis gracilipes is not yet known from many moist lowland tropical areas where it would probably thrive; including west-central Africa and much of the Neotropics. Populations in western Mexico are prevented from expanding eastward by a central mountain range, but may be able to spread south, around the mountains; to the Caribbean, Central America, and S America. Records from arid Baja California, MX indicateit can invade and persist in areas with arid climates, perhaps due to moderating effects of irrigation.
Fiji (Sarnat & Economo; in prep): Viti Levu; Vanua Levu; Taveuni; Kadavu; Gau; Koro; Moala; Lakeba; Beqa; Yasawa Is.; Macuata Is.; Nanui-i-Ra I.
Hawaii: Kauai; Oahu; Maui and Hawaii",missing large aprts of range (eg tropical africa),remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctopsocus jeanneli,,,,,none,,none,,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphaenogaster carolinensis,,NO GBIF,,,AntWeb,,https://www.antweb.org/bigMap.do?taxonName=myrmicinaeAphaenogaster%20carolinensis&project=allantwebants,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphaenogaster fulva,,,,,Mississipps entomological museum ,http://mississippientomologicalmuseum.org.msstate.edu/Researchtaxapages/Formicidaepages/genericpages/Aphaenogaster.fulva.html,"Southeast US: this species is known to occur in AL, AR, FL, GA, LA, MO, MS, NC, SC, TN. Smith (1979) also gives its range as occurring from VT to FL, west to NE and CO.",,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphaenogaster lamellidens,,,,,Mississipps entomological museum ,http://mississippientomologicalmuseum.org.msstate.edu/Researchtaxapages/Formicidaepages/genericpages/Aphaenogaster.lamellidens.htm#.Vcfn_EXjaIY,"Smith (1979) gives the distribution of A. lamellidens as N.Y. s. to Fla., w. to Ill., Mo., and Tex. In the Southeast, this species is known to occur in AL, AR, FL, GA, LA, MO, MS, NC, SC, TN.",missing all of new york which might affect northern limit,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphaenogaster rudis,,NO GBIF,,,AntWeb,,https://www.antweb.org/bigMap.do?taxonName=myrmicinaeaphaenogaster%20rudis&project=pennsylvaniaants,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphaenogaster senilis,,,,,Wikipedia,,"On la retrouve sur le pourtour m_diterran_en, et jusqu'aux ”les Canaries. En France elle est connue des Pyr_n_es-Orientales et de la Camargue.",missing parts of range in Mediterranean & Canary Islands,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apogon dovii,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=183640,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apogon novemfasciatus,,,,,WoRMS,,Mozambique,range description doesn t match gbif (no super confidence inspiring descriptions available),remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apogon pacifici,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=183403,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apteropanorpa tasmanica,,,,,Palmer&Siebke (2008) J Insect Physiology downloaded,http://www.sciencedirect.com/science/article/pii/S0022191008000899,"endemic to Tasmanian Mts - range map shows NW to Sediagonal range, never reaching coast",sparsely sampled but totally matches range map,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argopecten purpuratus,,,,,Sealifebase,,Southeast Pacific: Chile and Peru. Tropical and subtropical.,,excl.points,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona elegans,,,Y,,IUCN,http://maps.iucnredlist.org/map.html?id=63734,,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armadillidium vulgare,,,,,,http://animaldiversity.org/accounts/Armadillidium_vulgare/,native to the edge of the Mediterranean and has been introduced to nearly all worldwide terrestrial landmasses,invasive globally,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armases ricordi,,,,,,http://crustiesfroverseas.free.fr/fiche.php?irenavID=6217,"Abele (1992): Southern Florida north to Fort Pierce on the east coast and to St. Petersburg on the west coast; Bermuda; Bahamas; West Indies; coast of Central America and South America to Surinam. Records of this species from other localities were based on misidentified material (see Abele, 1972, 1973a). ",some extra points,excl.points,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascidia ceratodes,,,,,WoRMS,,"FROM REGIONAL OR THEMATIC SPECIES DATABASE
Trusted: edited by a thematic editorPacific Coast of Panama (origin: origin uncertain) BR
FROM OTHER SOURCES
North Pacific Ocean
Unreviewed: has not been verified by a taxonomic editorEast North Pacific BR",missing Panamanian part of range,remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atherinops affinis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=183957,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulacomya atra,,,,,Wikipedia,,"Aulacomya atra is native in South America - in Peru, Chile, the Falkland Islands and Argentina.[2] Also found on the coasts of New Zealand and Southern Africa, from Namibia to Port Alfred, South Africa, from the intertidal to 40 m.[3] Introdced specimens have been found in Moray Firth, Scotland, Europe.[2]",,excl.points,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrelaps superbus,,,,,Atlas of Livng Australia + Cogger (2010),,"South-eastern mainland Australia and Tasmania; Cogger has range more limited (only Vic & Tasmania), but GBIF points look convincing",cut off northern points of continuous range,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanus crenatus,,,,,WoRMS,, This is a boreal species distributed in the North Pacific and the North Atlantic. It has a similar distribution as B. balanus; a species it is often associated with. http://iobis.org/mapper/?taxon=Balanus%20crenatus,seems like parts of range undersmapled/missing,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbatia pistachia,,,,,Atlas of Livng Australia,www.capricornica.com/Aust_shells/Arcidae/Bar_pist.htm,"Australia: Southern Queensland, New South Wales, Victoria, South Australia, Tasmania, southern Western Australia",gbif range disjunct but overall polygon will be good,excl.points,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basiliscus vittatus,,,,,Reptile database,,"Mexico (Tamaulipas; Jalisco; Yucatan; Veracruz; Tabasco; Campeche; Quintana Roo; Chiapas; Oaxaca; Guerrero; Mochoc_n; Colima;Puebla); 
Nicaragua; Guatemala; El Salvador;Honduras;Belize; Panama; Costa Rica; elevation: 120-1400 m",Some points in Florida but they`re introduced. Not sure if there are points in Colombia also. ,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bassiana duperreyi,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida Under Pseudemoia duperreyi,,"Australia (New South Wales; South Australia; Tasmania; Victoria): Cogger says quite limited, S-eastern SA, Vic and highlandsof New SW, all fairly close to coast",some points oustide range description,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bassiana platynota,,,,,Reptile database + Cogger (2010) under Pseudemoia platynota,,Australia (New South Wales; Queensland; Victoria),there is one outlier (specified by code and ID) but it seems that it is inside the reptile database range description,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathygobius fuscus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=172443,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathygobius ramosus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=183649,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathygobius soporator,,,,,"Fishbase, IUCN",,"IUCN: amphiatlantic (Miller and Smith 1989, Brito and Miller 2001). Eastern Atlantic: Cape Verde Islands and Senegal south to Angola, including the islands of the Gulf of Guinea to Pagalu, AnnobÑn. Western Atlantic: from North Carolina south along the U.S. coast, Bermuda, the Bahamas, throughout the Gulf of Mexico and Caribbean Sea, and along the South American coast to Santa Catarina, Brazil (Maug_ 1986, Miller and Smith 1989, Miller 1990, Lawson and Thomas 2010, Miller and Murdy ECA FAO guide in prep). Records from the Mediterranean Sea are not considered valid (Quignard and Tomasini 2000). Records from the Pacific (Galapagos and Peru) require verification (Ginsburg 1947). Its depth range is zero to 16 m.  FISHBASE: Eastern Atlantic: Senegal to Angola (Ref. 5299) and offshore islands. Western Atlantic: Florida Keys in the USA; Bermuda and the Bahamas to Santa Catarina; Brazil (Ref. 7251; 57756). Mediterranean Sea (Ref. 50345). Suspected to be conspecific with Bathygobius fuscus. Record from Algeria needs confirmation (Ref. 2682).","exlc points in Pacific, N of florida.  NB: IUCN says This complex has recently been separated into three species: B. lacertus, B. antilliensis, and B. soporator (Tornabene et al. 2010).",remove.use.IUCN,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,NA,,NA,no species name,remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,NA,,NA,no species name,remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boreellus atriceps,,,,,none,,,number of points is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boreogadus saida,,,,,Fishbase,,Circumpolar in the Arctic. North Atlantic: White Sea; Iceland; and southern Greenland into the Miramichi River; New Brunswick in Canada. North Pacific: Bering Sea to Cape Olyutorski; the Pribilof Islands; and Bristol Bay.,,excl.points,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothrometopus brevis,,NO GBIF,,,Australian Antarctic Data Centre,,Found in the Antarctica/subantarctic or Southern Ocean - Heard Island - includes McDonald Island -Defined Area 52.97-53.2S; 72.36-73.83E,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
