degrees,minutes,hemisphere,Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate_°Cmin-1,duration_of_chronic_exposure,pretreatment_temp_°C,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,long_of_collection,elevation_of_collection_(ft),location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes
34,,southern,Hyla,glauerti,34.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
34,,southern,Hyla,glauerti,35.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,5,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
34,,southern,Hyla,glauerti,37.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,25,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
34,,southern,Hyla,glauerti,38.4,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,25,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
18,,southern,Hyla,gracilenta,36.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,2400,Atherton_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
18,,southern,Hyla,gracilenta,39,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Summer,NA,2400,Atherton_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
18,,southern,Hyla,gracilenta,38.3,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,2400,Atherton_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
18,,southern,Hyla,gracilenta,39.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,2400,Atherton_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
17,,southern,Hyla,gracilenta,38.3,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Cairns_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
17,,southern,Hyla,lesueuri,32.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Cairns_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
17,,southern,Hyla,lesueuri,34.2,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Cairns_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
17,,southern,Hyla,lesueuri,35.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Cairns_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
38,,southern,Hyla,lesueuri,31.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Autumn,NA,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
38,,southern,Hyla,lesueuri,34.1,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Autumn,NA,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
38,,southern,Hyla,lesueuri,34.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,25,NA,NA,Autumn,NA,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
38,,southern,Hyla,lesueuri,30.3,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Spring,NA,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
38,,southern,Hyla,lesueuri,32,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,5,NA,NA,Spring,NA,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
38,,southern,Hyla,lesueuri,33.1,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,25,NA,NA,Spring,NA,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
38,,southern,Hyla,lesueuri,34.8,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,25,NA,NA,Spring,NA,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
34,,southern,Hyla,peroni,31,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
34,,southern,Hyla,peroni,35.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,5,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
34,,southern,Hyla,peroni,32.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
34,,southern,Hyla,peroni,36.3,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,25,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
34,,southern,Hyla,peroni,37.7,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,25,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
31,,southern,Hyla,peroni,33,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Spring,NA,2400,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
31,,southern,Hyla,peroni,35.5,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,5,NA,NA,Spring,NA,2400,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
31,,southern,Hyla,peroni,36.2,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,25,NA,NA,Spring,NA,2400,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
31,,southern,Hyla,peroni,37.7,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,25,NA,NA,Spring,NA,2400,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
38,,southern,Hyla,peroni,35,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Autumn,NA,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
38,,southern,Hyla,peroni,38.1,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Autumn,NA,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
34,,southern,Hyla,phyllochroa,29.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
38,,southern,Hyla,phyllochroa,29.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Spring,NA,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,Animals reused in the same test (first day animal used in day 2)
38,,southern,Hyla,phyllochroa,34.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,5,NA,NA,Spring,NA,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,Animals reused in the same test (first day animal used in day 2)
38,,southern,Hyla,phyllochroa,31.4,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,20,NA,NA,Spring,NA,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,Animals reused in the same test (first day animal used in day 2)
38,,southern,Hyla,phyllochroa,35,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,20,NA,NA,Spring,NA,1000,Murrindal_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,Animals reused in the same test (first day animal used in day 2)
38,,southern,Hyla,phyllochroa,30,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Autumn,NA,1000,Buchan_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
21,,southern,Hyla,rothi,36.2,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
21,,southern,Hyla,rothi,37.5,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Summer,NA,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
21,,southern,Hyla,rothi,38.9,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
21,,southern,Hyla,rothi,39.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
18,,southern,Hyla,rothi,31.9,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
18,,southern,Hyla,rothi,34.5,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
18,,southern,Hyla,rothi,39.4,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
18,,southern,Hyla,rothi,40.1,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
21,,southern,Hyla,rubella,35.9,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
21,,southern,Hyla,rubella,37.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Summer,NA,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
21,,southern,Hyla,rubella,39.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
21,,southern,Hyla,rubella,40.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
18,,southern,Hyla,rubella,35.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,Animals reused in the same test (first day animal used in day 3)
18,,southern,Hyla,rubella,37.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,Animals reused in the same test (first day animal used in day 3)
18,,southern,Hyla,rubella,38.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,Animals reused in the same test (first day animal used in day 3)
18,,southern,Hyla,rubella,39.4,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,Animals reused in the same test (first day animal used in day 3)
20,,southern,Hyla,rubella,35.8,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
20,,southern,Hyla,rubella,37.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Summer,NA,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
20,,southern,Hyla,rubella,39.3,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
20,,southern,Hyla,rubella,40.8,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
18,,southern,Hyla,rubella,41.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,2400,Atherton_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,Tree frog,Terrestrial/aquatic,NA
31,,southern,Limnodynastes,dorsalis,32.1,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Summer,NA,2000,Tamworth_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Limnodynastes,dorsalis,36.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,25,NA,NA,Summer,NA,2000,Tamworth_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Limnodynastes,dorsalis,36.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,25,NA,NA,Summer,NA,2000,Tamworth_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
39,,southern,Limnodynastes,dorsalis,33.2,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Wilson's_prom_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
39,,southern,Limnodynastes,dorsalis,35,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Wilson's_prom_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
39,,southern,Limnodynastes,dorsalis,37,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Wilson's_prom_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
34,,southern,Limnodynastes,peroni,32.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
34,,southern,Limnodynastes,peroni,34.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Summer,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
18,,southern,Limnodynastes,peroni,30.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
18,,southern,Limnodynastes,peroni,34.1,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
18,,southern,Limnodynastes,peroni,36.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Limnodynastes,tasmaniensis,29.8,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Spring,NA,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Limnodynastes,tasmaniensis,33.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,5,NA,NA,Spring,NA,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Limnodynastes,tasmaniensis,33.4,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,25,NA,NA,Spring,NA,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Limnodynastes,tasmaniensis,35,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,25,NA,NA,Spring,NA,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
37,,southern,Limnodynastes,tasmaniensis,34,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Winter,NA,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
37,,southern,Limnodynastes,tasmaniensis,35.1,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Winter,NA,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
38,,southern,Limnodynastes,tasmaniensis,34.9,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,25,NA,NA,Spring,NA,1000,Grampians_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
38,,southern,Limnodynastes,tasmaniensis,36.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,25,NA,NA,Spring,NA,1000,Grampians_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
21,,southern,Cyclorana,brevipes,40,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
21,,southern,Cyclorana,brevipes,40.5,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
20,,southern,Cyclorana,brevipes,31.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Pseudophryne,bibroni,34.8,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Spring,NA,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Pseudophryne,bibroni,35.4,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,5,NA,NA,Spring,NA,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
34,,southern,Pseudophryne,bibroni,30.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
34,,southern,Pseudophryne,bibroni,33.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,5,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
34,,southern,Pseudophryne,bibroni,36.2,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,25,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
34,,southern,Pseudophryne,bibroni,38.2,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,25,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
