db,query,class
itis,Urosaurus ornatus,Reptilia
ncbi,Urosaurus ornatus,NA
itis,Petrosaurus mearnsi,Reptilia
ncbi,Petrosaurus mearnsi,NA
itis,Ameiva festiva,Reptilia
ncbi,Ameiva festiva,NA
itis,Anolis carolinensis,Reptilia
ncbi,Anolis carolinensis,NA
itis,Cnemidophorus tigris,Reptilia
ncbi,Cnemidophorus tigris,NA
itis,Lepidophyma flavimaculatum,Reptilia
ncbi,Lepidophyma flavimaculatum,NA
itis,Sceloporus malachiticus,Reptilia
ncbi,Sceloporus malachiticus,NA
itis,Sceloporus occidentalis,Reptilia
ncbi,Sceloporus occidentalis,NA
itis,Sceloporus variabilis,Reptilia
ncbi,Sceloporus variabilis,NA
itis,Podarcis tilliguerta,NA
ncbi,Podarcis tilliguerta,NA
itis,Diamesa sp.1,NA
ncbi,Diamesa sp.1,NA
itis,Calathus melanocephalus,Insecta
ncbi,Calathus melanocephalus,Insecta
itis,Trimeresurus gracilis,Reptilia
ncbi,Trimeresurus gracilis,NA
itis,Protobothrops mucrosquamatus,Reptilia
ncbi,Protobothrops mucrosquamatus,NA
itis,Trimeresurus stejnegeri,Reptilia
ncbi,Trimeresurus stejnegeri,NA
itis,Takydromus septentrionalis,NA
ncbi,Takydromus septentrionalis,NA
itis,Anguilla australis,Teleostei
ncbi,Anguilla australis,Actinopteri
itis,Uloma impressa,NA
ncbi,Uloma impressa,NA
itis,Melanotus sp.1,NA
ncbi,Melanotus sp.1,NA
itis,Cucujus clavipes,Insecta
ncbi,Cucujus clavipes,Insecta
itis,Parcoblatta pennsylvanica,NA
ncbi,Parcoblatta pennsylvanica,Insecta
itis,Canthon humectus_hidalgoensis,Insecta
ncbi,Canthon humectus_hidalgoensis,NA
itis,Bugula californica,Gymnolaemata
ncbi,Bugula californica,NA
itis,Thamnophis elegans,Reptilia
ncbi,Thamnophis elegans,NA
itis,Nacella concinna,NA
ncbi,Nacella concinna,Gastropoda
itis,Urosaurus auriculatus,Reptilia
ncbi,Urosaurus auriculatus,NA
itis,Urosaurus clarionensis,Reptilia
ncbi,Urosaurus clarionensis,NA
itis,Agkistrodon contortrix,Reptilia
ncbi,Agkistrodon contortrix,NA
itis,Trachylepis striata,NA
ncbi,Trachylepis striata,NA
itis,Uta stansburiana,Reptilia
ncbi,Uta stansburiana,NA
itis,Sceloporus graciosus,Reptilia
ncbi,Sceloporus graciosus,NA
itis,Eciton burchellii,Insecta
ncbi,Eciton burchellii,Insecta
itis,Rana clamitans,NA
ncbi,Rana clamitans,Amphibia
itis,Ambystoma tigrinum,Amphibia
ncbi,Ambystoma tigrinum,Amphibia
itis,Lithobates catesbeiana,NA
ncbi,Lithobates catesbeiana,Amphibia
itis,Lithobates pipiens,Amphibia
ncbi,Lithobates pipiens,Amphibia
itis,Rhinella marina,Amphibia
ncbi,Rhinella marina,Amphibia
itis,Melanophryniscus rubriventris,Amphibia
ncbi,Melanophryniscus rubriventris,Amphibia
itis,Anaxyrus americanus,Amphibia
ncbi,Anaxyrus americanus,Amphibia
itis,Anaxyrus woodhousii,Amphibia
ncbi,Anaxyrus woodhousii,Amphibia
itis,Lithobates sylvaticus,Amphibia
ncbi,Lithobates sylvaticus,Amphibia
itis,Pseudacris regilla,Amphibia
ncbi,Pseudacris regilla,Amphibia
itis,Hyla versicolor,Amphibia
ncbi,Hyla versicolor,Amphibia
itis,Rhinella granulosa,Amphibia
ncbi,Rhinella granulosa,Amphibia
itis,Acris crepitans,Amphibia
ncbi,Acris crepitans,Amphibia
itis,Desmognathus quadramaculatus,Amphibia
ncbi,Desmognathus quadramaculatus,Amphibia
itis,Notophthalmus viridescens,Amphibia
ncbi,Notophthalmus viridescens,Amphibia
itis,Ambystoma jeffersonianum,Amphibia
ncbi,Ambystoma jeffersonianum,Amphibia
itis,Ascaphus truei,Amphibia
ncbi,Ascaphus truei,Amphibia
itis,Buergeria japonica,Amphibia
ncbi,Buergeria japonica,Amphibia
itis,Eleutherodactylus portoricensis,Amphibia
ncbi,Eleutherodactylus portoricensis,Amphibia
itis,Limnodynastes peronii,Amphibia
ncbi,Limnodynastes peronii,Amphibia
itis,Limnodynastes salmini,Amphibia
ncbi,Limnodynastes salmini,Amphibia
itis,Lithobates berlandieri,Amphibia
ncbi,Lithobates berlandieri,Amphibia
itis,Litoria aurea,Amphibia
ncbi,Litoria aurea,Amphibia
itis,Litoria australis,Amphibia
ncbi,Litoria australis,Amphibia
itis,Litoria caerulea,Amphibia
ncbi,Litoria caerulea,Amphibia
itis,Litoria fallax,Amphibia
ncbi,Litoria fallax,Amphibia
itis,Litoria freycineti,Amphibia
ncbi,Litoria freycineti,Amphibia
itis,Litoria lesueuri,Amphibia
ncbi,Litoria lesueuri,Amphibia
itis,Litoria nasuta,Amphibia
ncbi,Litoria nasuta,Amphibia
itis,Litoria peronii,Amphibia
ncbi,Litoria peronii,Amphibia
itis,Litoria rubella,Amphibia
ncbi,Litoria rubella,Amphibia
itis,Mixophyes fasciolatus,Amphibia
ncbi,Mixophyes fasciolatus,Amphibia
itis,Neobatrachus pictus,Amphibia
ncbi,Neobatrachus pictus,Amphibia
itis,Pseudacris crucifer,Amphibia
ncbi,Pseudacris crucifer,Amphibia
itis,Pseudophryne bibronii,Amphibia
ncbi,Pseudophryne bibronii,NA
itis,Quasipaa spinosa,Amphibia
ncbi,Quasipaa spinosa,Amphibia
itis,Necturus maculosus,Amphibia
ncbi,Necturus maculosus,Amphibia
itis,Anaxyrus boreas,Amphibia
ncbi,Anaxyrus boreas,Amphibia
itis,Anaxyrus cognatus,Amphibia
ncbi,Anaxyrus cognatus,Amphibia
itis,Crinia parinsignifera,Amphibia
ncbi,Crinia parinsignifera,Amphibia
itis,Desmognathus ochrophaeus,Amphibia
ncbi,Desmognathus ochrophaeus,Amphibia
itis,Geocrinia victoriana,Amphibia
ncbi,Geocrinia victoriana,Amphibia
itis,Litoria bicolor,Amphibia
ncbi,Litoria bicolor,Amphibia
itis,Litoria chloris,Amphibia
ncbi,Litoria chloris,Amphibia
itis,Litoria ewingii,Amphibia
ncbi,Litoria ewingii,Amphibia
itis,Litoria phyllochroa,Amphibia
ncbi,Litoria phyllochroa,Amphibia
itis,Litoria rothii,Amphibia
ncbi,Litoria rothii,Amphibia
itis,Litoria verreauxii,Amphibia
ncbi,Litoria verreauxii,Amphibia
itis,Odontophrynus occidentalis,Amphibia
ncbi,Odontophrynus occidentalis,Amphibia
itis,Desmognathus monticola,Amphibia
ncbi,Desmognathus monticola,Amphibia
itis,Plethodon cinereus,Amphibia
ncbi,Plethodon cinereus,Amphibia
itis,Plethodon jordani,Amphibia
ncbi,Plethodon jordani,Amphibia
itis,Ambystoma triseriata,NA
ncbi,Ambystoma triseriata,NA
itis,Hyperolius viridiflavus,Amphibia
ncbi,Hyperolius viridiflavus,Amphibia
itis,Acipenser brevirostrum,Chondrostei
ncbi,Acipenser brevirostrum,Actinopteri
itis,Ambassis ambassis,Teleostei
ncbi,Ambassis ambassis,Actinopteri
itis,Apogon dovii,Teleostei
ncbi,Apogon dovii,Actinopteri
itis,Apogon pacificus,Teleostei
ncbi,Apogon pacificus,Actinopteri
itis,Lipophrys pholis,Teleostei
ncbi,Lipophrys pholis,Actinopteri
itis,Lipophrys trigloides,Teleostei
ncbi,Lipophrys trigloides,Actinopteri
itis,Carpiodes cyprinus,Teleostei
ncbi,Carpiodes cyprinus,Actinopteri
itis,Catostomus commersonii,Teleostei
ncbi,Catostomus commersonii,Actinopteri
itis,Hypentelium nigricans,Teleostei
ncbi,Hypentelium nigricans,Actinopteri
itis,Ambloplites rupestris,Teleostei
ncbi,Ambloplites rupestris,Actinopteri
itis,Lepomis cyanellus,Teleostei
ncbi,Lepomis cyanellus,Actinopteri
itis,Lepomis gibbosus,Teleostei
ncbi,Lepomis gibbosus,Actinopteri
itis,Lepomis macrochirus,Teleostei
ncbi,Lepomis macrochirus,Actinopteri
itis,Lepomis megalotis,Teleostei
ncbi,Lepomis megalotis,Actinopteri
itis,Micropterus dolomieu,Teleostei
ncbi,Micropterus dolomieu,Actinopteri
itis,Micropterus punctulatus,Teleostei
ncbi,Micropterus punctulatus,Actinopteri
itis,Micropterus salmoides,Teleostei
ncbi,Micropterus salmoides,Actinopteri
itis,Pomoxis annularis,Teleostei
ncbi,Pomoxis annularis,Actinopteri
itis,Pomoxis nigromaculatus,Teleostei
ncbi,Pomoxis nigromaculatus,Actinopteri
itis,Lates calcarifer,Teleostei
ncbi,Lates calcarifer,Actinopteri
itis,Chaenocephalus aceratus,Teleostei
ncbi,Chaenocephalus aceratus,Actinopteri
itis,Chionodraco rastrospinosus,Teleostei
ncbi,Chionodraco rastrospinosus,Actinopteri
itis,Gymnocharacinus bergii,Teleostei
ncbi,Gymnocharacinus bergii,Actinopteri
itis,Etroplus suratensis,Teleostei
ncbi,Etroplus suratensis,Actinopteri
itis,Oreochromis mossambicus,Teleostei
ncbi,Oreochromis mossambicus,Actinopteri
itis,Cirrhitichthys oxycephalus,Teleostei
ncbi,Cirrhitichthys oxycephalus,Actinopteri
itis,Dorosoma cepedianum,Teleostei
ncbi,Dorosoma cepedianum,Actinopteri
itis,Sardinops sagax,Teleostei
ncbi,Sardinops sagax,Actinopteri
itis,Cottus bairdii,Teleostei
ncbi,Cottus bairdii,Actinopteri
itis,Cottus carolinae,Teleostei
ncbi,Cottus carolinae,Actinopteri
itis,Cottus gobio,Teleostei
ncbi,Cottus gobio,Actinopteri
itis,Campostoma anomalum,Teleostei
ncbi,Campostoma anomalum,Actinopteri
itis,Carassius auratus,Teleostei
ncbi,Carassius auratus,Actinopteri
itis,Carassius carassius,Teleostei
ncbi,Carassius carassius,Actinopteri
itis,Chrosomus erythrogaster,Teleostei
ncbi,Chrosomus erythrogaster,Actinopteri
itis,Couesius plumbeus,Teleostei
ncbi,Couesius plumbeus,Actinopteri
itis,Ctenopharyngodon idella,Teleostei
ncbi,Ctenopharyngodon idella,Actinopteri
itis,Cyprinella lutrensis,Teleostei
ncbi,Cyprinella lutrensis,Actinopteri
itis,Cyprinella spiloptera,Teleostei
ncbi,Cyprinella spiloptera,Actinopteri
itis,Cyprinus carpio,Teleostei
ncbi,Cyprinus carpio,Actinopteri
itis,Danio rerio,Teleostei
ncbi,Danio rerio,Actinopteri
itis,Gobio gobio,Teleostei
ncbi,Gobio gobio,Actinopteri
itis,Hybognathus placitus,Teleostei
ncbi,Hybognathus placitus,Actinopteri
itis,Hypophthalmichthys nobilis,Teleostei
ncbi,Hypophthalmichthys nobilis,Actinopteri
itis,Labeo rohita,Teleostei
ncbi,Labeo rohita,Actinopteri
itis,Leuciscus idus,Teleostei
ncbi,Leuciscus idus,Actinopteri
itis,Luxilus chrysocephalus,Teleostei
ncbi,Luxilus chrysocephalus,Actinopteri
itis,Luxilus cornutus,Teleostei
ncbi,Luxilus cornutus,Actinopteri
itis,Notemigonus crysoleucas,Teleostei
ncbi,Notemigonus crysoleucas,Actinopteri
itis,Notropis atherinoides,Teleostei
ncbi,Notropis atherinoides,Actinopteri
itis,Notropis hudsonius,Teleostei
ncbi,Notropis hudsonius,Actinopteri
itis,Notropis rubellus,Teleostei
ncbi,Notropis rubellus,Actinopteri
itis,Notropis stramineus,Teleostei
ncbi,Notropis stramineus,Actinopteri
itis,Pimephales notatus,Teleostei
