genus_species,latitude,longitude
Litoria peronii,-27.553,153.056
Litoria rubella,-27.559,152.276
Mixophyes fasciolatus,-27.334,152.768
Neobatrachus pictus,-34.929,138.6
Notophthalmus viridescens,37.9510375,-79.0576175
Pseudacris crucifer,39.965,-74.312
Pseudacris triseriata,40.529,-74.64
Pseudophryne bibronii,-27.553,153.056
Rana clamitans,37.621,-84.199
Anaxyrus americanus,42.878,-73.197
Ambystoma jeffersonianum,39.289,-86.773
Ambystoma jeffersonianum,39.424,-84.186
Ambystoma tigrinum,37.722,-89.323
Lithobates sylvaticus,42.633,-73.85
Lithobates sylvaticus,42.75,-83.217
Lithobates sylvaticus,37.567,-84.3
Necturus maculosus,45.442,-90.128
Ambystoma macrodactylum,46.4,-117.001
Ambystoma macrodactylum,44.881,-117.115
Ambystoma macrodactylum,45.593,-116.972
Anaxyrus americanus,35.255,-97.352
Anaxyrus boreas,33.979,-118.033
Anaxyrus boreas,33.647,-117.689
Anaxyrus boreas,33.619,-117.693
Anaxyrus boreas,51.091,-121.587
Anaxyrus boreas,39.327,-120.087
Anaxyrus cognatus,31,-110.331
Anaxyrus cognatus,35.223,-97.439
Crinia parinsignifera,-31.563,147.196
Crinia parinsignifera,-36.692,145.887
Crinia signifera,-33.425,151.342
Crinia signifera,-37.133,142.518
Crinia signifera,-37.872,145.245
Crinia signifera,-37.496,148.174
Crinia signifera,-37.412,148.206
Crinia signifera,-42.3,147.371
Crinia signifera,-30.514,151.667
Crinia signifera,-36.456,148.264
Desmognathus ochrophaeus,35.255,-97.352
Eurycea longicauda,37.433,-80.32
Eurycea lucifuga,37.433,-80.32
Geocrinia victoriana,-36.759,144.284
Geocrinia victoriana,-37.833,146.267
Limnodynastes dorsalis,-38.917,146.333
Limnodynastes dorsalis,-31.106,150.931
Limnodynastes peronii,-17.933,145.924
Limnodynastes peronii,-33.425,151.342
Limnodynastes salmini,-33.425,151.342
Limnodynastes tasmaniensis,-36.692,145.887
Limnodynastes tasmaniensis,-37.133,142.518
Limnodynastes tasmaniensis,-30.514,151.667
Lithobates berlandieri,35.255,-97.352
Lithobates catesbeiana,39.44,-84.522
Lithobates catesbeiana,35.255,-97.352
Lithobates pipiens,43.78444,-88.787868
Lithobates pipiens,45,-89.646
Lithobates pipiens,10.016,-83.788
Lithobates pipiens,16.747,-92.647
Lithobates sylvaticus,51.091,-121.587
Litoria aurea,-36.692,145.887
Litoria aurea,-33.425,151.342
Litoria aurea,-37.496,148.174
Litoria aurea,-38.917,146.333
Litoria bicolor,-17.933,145.924
Litoria caerulea,-20.012,148.246
Litoria caerulea,-19.258,146.818
Litoria caerulea,-33.425,151.342
Litoria chloris,-16.92,145.771
Litoria chloris,-17.267,145.476
Litoria ewingii,-36.692,145.887
Litoria ewingii,-37.133,142.518
Litoria ewingii,-37.872,145.245
Litoria ewingii,-33.425,151.342
Litoria ewingii,-30.514,151.667
Litoria fallax,-19.258,146.818
Litoria fallax,-17.933,145.924
Litoria fallax,-33.425,151.342
Litoria freycineti,-33.425,151.342
Litoria gracilenta,-16.92,145.771
Litoria gracilenta,-17.267,145.476
Litoria lesueuri,-16.92,145.771
Litoria lesueuri,-37.496,148.174
Litoria lesueuri,-37.412,148.206
Litoria peronii,-33.425,151.342
Litoria peronii,-37.496,148.174
Litoria peronii,-30.514,151.667
Litoria phyllochroa,-33.425,151.342
Litoria phyllochroa,-37.496,148.174
Litoria phyllochroa,-37.412,148.206
Litoria rothii,-17.933,145.924
Litoria rothii,-20.012,148.246
Litoria rubella,-20.012,148.246
Litoria rubella,-19.258,146.818
Litoria rubella,-17.933,145.924
Litoria rubella,-17.267,145.476
Litoria verreauxii,-37.496,148.174
Litoria verreauxii,-37.833,146.267
Litoria verreauxii,-36.314,148.646
Litoria verreauxii,-36.456,148.264
Mixophyes fasciolatus,-33.425,151.342
Necturus maculosus,40.4070065,-84.204712
Neobatrachus pictus,-31.106,150.931
Notophthalmus viridescens,35.255,-97.352
Pseudacris regilla,33.647,-117.689
Pseudacris regilla,39.327,-120.087
Pseudophryne bibronii,-36.692,145.887
Pseudophryne bibronii,-33.425,151.342
Pseudophryne bibronii,-30.514,151.667
Spea hammondii,31,-110.331
Spea hammondii,33.647,-117.689
Odontophrynus occidentalis,-31.527,-68.521
Ambystoma maculatum,35.994,-78.899
Ascaphus truei,41.823,-123.94
Desmognathus fuscus,34.588,-78.566
Desmognathus fuscus,36.689,-80.321
Desmognathus ochrophaeus,36.689,-80.321
Desmognathus ochrophaeus,35.624,-82.993
Desmognathus quadramaculatus,35.219,-82.778
Desmognathus quadramaculatus,36.494,-81.12
Eurycea bislineata,35.317,-83.209
Eurycea longicauda,36.689,-80.321
Eurycea lucifuga,37.313,-80.677
Notophthalmus viridescens,34.028,-78.202
Notophthalmus viridescens,42.117,-72.662
Notophthalmus viridescens,36.074,-78.243
Notophthalmus viridescens,51.254,-85.323
Notophthalmus viridescens,41.129,-74.687
Notophthalmus viridescens,36.026,-79.11
Notophthalmus viridescens,46.312,-84.593
Notophthalmus viridescens,37.788,-81.953
Notophthalmus viridescens,37.313,-80.677
Notophthalmus viridescens,35.317,-83.209
Notophthalmus viridescens,36.494,-81.12
Plethodon cinereus,39.953,-75.443
Plethodon cinereus,37.375,-80.523
Plethodon jordani,35.827,-83.507
Plethodon jordani,35.113,-84.059
Plethodon jordani,35.12,-83.336
Plethodon jordani,35.219,-82.778
Plethodon jordani,36.09,-81.836
Limnodynastes peronii,-34.012,151.094
Lithobates sylvaticus,45.517,-73.3
Pseudacris triseriata,40.55,-105.017
Pseudacris triseriata,40.6,-105.017
Ambystoma jeffersonianum,47.165,-95.197
Ambystoma maculatum,36.022,-78.903
Ambystoma maculatum,36.026,-79.11
Ambystoma tigrinum,44.996399,-93.061598
Anaxyrus woodhousii,41.682,-69.96
Buergeria japonica,24.868,121.544
Buergeria japonica,24.063,120.811
Buergeria japonica,23.435,120.636
Buergeria japonica,24.027,121.187
Desmognathus fuscus,36.639,-81.605
Eleutherodactylus coqui,18.403,-66.05
Eleutherodactylus coqui,18.295,-65.8
Eurycea bislineata,37.375,-80.523
Hyperolius viridiflavus,7.54,-5.547
Hyperolius viridiflavus,4.7816485,30.3826905
