assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
81358429,81358340,Minuartia pusilla,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CARYOPHYLLACEAE,Minuartia,pusilla,,,,(S.Watson) Mattf.,Least Concern,,3.1,Unknown,Global
82664336,191206,Alosa sapidissima,ANIMALIA,CHORDATA,CLUPEIFORMES,ACTINOPTERYGII,CLUPEIDAE,Alosa,sapidissima,,,,"(Wilson, 1811)",Least Concern,,3.1,Unknown,Global
83999434,164482,Ottelia alismoides,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Ottelia,alismoides,,,,(L.) Pers.,Least Concern,,3.1,Unknown,Global
84287155,164042,Juncus bufonius,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,JUNCACEAE,Juncus,bufonius,,,,L.,Least Concern,,3.1,Stable,Global
85926819,45100023,Phasianus colchicus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Phasianus,colchicus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
85966135,22679946,Branta bernicla,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Branta,bernicla,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
85980652,22679881,Anser albifrons,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anser,albifrons,,,,"(Scopoli, 1769)",Least Concern,,3.1,Unknown,Global
86020572,22680149,Mareca strepera,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Mareca,strepera,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
86585436,22693178,Numenius phaeopus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Numenius,phaeopus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
86591264,22693468,Calidris pugnax,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,pugnax,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
86614145,22693369,Calidris alba,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,alba,,,,"(Pallas, 1764)",Least Concern,,3.1,Unknown,Global
86682083,22693207,Tringa erythropus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,erythropus,,,,"(Pallas, 1764)",Least Concern,,3.1,Stable,Global
87304270,22727137,Picoides tridactylus,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Picoides,tridactylus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
