internalTaxonId,scientificName,name,language,main
22711244,Certhia americana,Brown Creeper,English,false
22711244,Certhia americana,American Treecreeper,English,true
22711374,Cistothorus palustris,Marsh Wren,English,true
22711767,Poecile rufescens,Chestnut-backed Chickadee,English,true
22712057,Tachycineta bicolor,Tree Swallow,English,true
22712427,Petrochelidon pyrrhonota,American Cliff Swallow,English,false
22712427,Petrochelidon pyrrhonota,Cliff Swallow,English,true
22712567,Regulus calendula,Ruby-crowned Kinglet,English,true
22720359,Spinus pinus,Pine Siskin,English,true
22720407,Spinus tristis,American Goldfinch,English,true
22720553,Haemorhous purpureus,Purple Finch,English,true
22721058,Melospiza melodia,Song Sparrow,English,true
22721064,Melospiza lincolnii,Lincoln's Sparrow,English,true
22721088,Zonotrichia leucophrys,White-crowned Sparrow,English,true
22721091,Zonotrichia atricapilla,Golden-crowned Sparrow,English,true
103780243,Passerculus sandwichensis,Savannah Sparrow,English,true
22721188,Pooecetes gramineus,Vesper Sparrow,English,true
22721624,Leiothlypis celata,Orange-crowned Warbler,English,true
22721679,Setophaga nigrescens,Black-throated Gray Warbler,English,false
22721679,Setophaga nigrescens,Black-throated Grey Warbler,English,true
22721683,Setophaga townsendi,Townsend's Warbler,English,true
22721836,Geothlypis trichas,Common Yellowthroat,English,true
22721879,Cardellina pusilla,Wilson's Warbler,English,true
22722471,Piranga ludoviciana,Western Tanager,English,true
22723816,Pheucticus melanocephalus,Black-headed Grosbeak,English,true
22724332,Euphagus cyanocephalus,Brewer's Blackbird,English,true
22725264,Patagioenas fasciata,Band-tailed Pigeon,English,false
22725264,Patagioenas fasciata,Northern Band-tailed Pigeon,English,true
22726414,Colaptes cafer,Red-shafted Flicker,English,true
22727740,Circus hudsonius,Northern Harrier,English,true
22728182,Butorides striata,Striated Heron,English,false
22728182,Butorides striata,بلشون محزز,Arabic,false
22728182,Butorides striata,Green-backed Heron,English,true
103772680,Pipilo maculatus,Spotted Towhee,English,true
22729123,Icterus bullockiorum,Bullock's Oriole,English,true
22733619,Branta hutchinsii,Cackling Goose,English,true
22733935,Chaetura vauxi,Vaux's Swift,English,true
22734695,Dendragapus fuliginosus,Sooty Grouse,English,true
22721097,Junco hyemalis,Dark-eyed Junco,English,true
22712152,Stelgidopteryx serripennis,Northern Rough-winged Swallow,English,true
61204155,Falcipennis franklinii,Franklin's Grouse,English,true
61791401,Glaucidium californicum,Northern Pygmy-owl,English,true
62015238,Haematopus ater,Blackish Oystercatcher,English,true
62169677,Fulica americana,American Coot,English,true
22690736,Zenaida macroura,American Mourning Dove,English,false
22690736,Zenaida macroura,Mourning Dove,English,true
164133,Zannichellia palustris,Zannichellie des marais,French,false
164133,Zannichellia palustris,Horned Pondweed,English,true
18868,Puma concolor,Cougar,English,false
18868,Puma concolor,Deer Tiger,English,false
18868,Puma concolor,Mountain Lion,English,false
18868,Puma concolor,Red Tiger,English,false
18868,Puma concolor,León Americano,Spanish; Castilian,false
18868,Puma concolor,León Bayo,Spanish; Castilian,false
18868,Puma concolor,León Colorado,Spanish; Castilian,false
18868,Puma concolor,León De Montaña,Spanish; Castilian,false
18868,Puma concolor,Mitzli,Spanish; Castilian,false
18868,Puma concolor,Onza Bermeja,Spanish; Castilian,false
18868,Puma concolor,Puma,English,true
190422,Mola mola,Giant Sunfish,English,false
190422,Mola mola,Headfish,English,false
190422,Mola mola,Mola Ocean Sunfish,English,false
190422,Mola mola,Moonfish,English,false
190422,Mola mola,Sunfish,English,false
190422,Mola mola,Sun-fish,English,false
190422,Mola mola,Mola,Spanish; Castilian,false
190422,Mola mola,Môle,French,false
190422,Mola mola,Môle Commun,French,false
190422,Mola mola,Peixe Lua,Spanish; Castilian,false
190422,Mola mola,Pez Cabeza,Spanish; Castilian,false
190422,Mola mola,Pez Luna,Spanish; Castilian,false
190422,Mola mola,Pez Sol,Spanish; Castilian,false
190422,Mola mola,Poisson-lune,French,false
190422,Mola mola,Poisson Lune,French,false
190422,Mola mola,Ocean Sunfish,English,true
98471199,Clupea pallasii,Pacific Herring,English,true
12518,Lynx canadensis,American Lynx,English,false
12518,Lynx canadensis,Lince del Canadá,Spanish; Castilian,false
12518,Lynx canadensis,Lince del Canadá,Spanish; Castilian,false
12518,Lynx canadensis,Lynx du Canada,French,false
12518,Lynx canadensis,Canada Lynx,English,true
3745,Canis latrans,American Jackal,English,false
3745,Canis latrans,Brush Wolf,English,false
3745,Canis latrans,Prairie Wolf,English,false
3745,Canis latrans,Kojote,German,false
